,Index,Youtube Comment
296,70,thank you for this  I just purchased affinity for digital drawing and designing  I've used almost all the softwares
297,70,Thank you so much for posting this. I love Adobe photoshop but tired of having to pay for a subscription when I can just buy this learn and master everything again and be much happier. I could use this and clip studio both able to buy no sub. Ty!!
298,70,Utterly brilliant!
299,70,Hi Andrew! I enjoyed this tutorial a lot... I was wondering if there's a clipping mask function like in Photoshop (I searched for it but still cannot find it)
300,70,"Itâs incredible
Iâm a french people and i try to learn how to use affinity
Could you make some tutorials in the future please ?"
301,70,Beautiful.
302,70,"I'm considering getting affinity and this video is really tipping me over the edge

amazing drawing btw! this is so fucking cool"
303,70,Hello Andy  amazing job you have done here! Is it possible to achieve the same result in Affinity Designer?
304,71,
305,72,
306,73,
307,74,
308,75,
309,76,
310,77,
311,78,
312,79,
313,80,Hey Hari  its Nick  we talked about options in Mauritius
314,80,so great wouldnt be for sale
315,81,Hi Max   you are a great trainer keep it up....
316,81,I love this channel and I'm rooting for it! Good luck  don't stop!!
317,81,You guys are great  wish you success with your channel!
318,81,just started following you guys!! good content
319,81,Plz do data structure 's and algorithms course  with great content
320,81,i h'v been watching this channel 6 months well structured training guide and covering most possible subject . we would love to learn one more about tutorial topic of Vue + Laravel(REST API) deployment best practices... i am exiting about wait to see in Academind ...
321,81,I have learned a lot from this channel. Laravel + Vuejs just to mention a few. I'm wishing you guys all the best.
322,81,hello max   i have your course on udemy but have yet to start with it  I have a question on how to do animation  I want images to be displayed in the middle of a div  these 3 images i want them to slide from the side of the screen.. is this idea covered or something similar covered in the tutorial?
323,81,Good Job! Max i was wondering if you could do a payment gateway intergation in laravel without stripe or braintree bacause  they are not supported in every country.I would appreciate it.
324,81,Thank you Academind. Refreshing.
325,81,please make a video on how to make a website with angular from scratch which includes features like CRUD operation  file uploading  file export something like that  it will be very helpful for us ......!
326,81,"Whoaa    finally i found Max' channel...
Know Max before from Udemy...
Great Teacher :D"
327,81,Great video  I have been watching your Angular 7 at Udemy  and I like it very much!  Max  will you making stencil js course recently? I am happy to pay a price for stencil course.
328,81,Hi  Maximilian! I am looking about your curs for vue  and i don t understand  it is about vue 3 or vue 2?
329,81,"Hi Max I'm following your course of react native i got this error while establishing the redux the app says  "" maximum call stack size exceeded "" can you help me please ?"
330,81,Amazing
331,81,Top 
332,81,I wanted to buy your course on Udemy  and was watching preview videos  couldn't find any option to ask questions from preview videos
333,81,"The Angular Course 2021
 by  ' Maximilian SchwarzmÃ¼ller '  
Is there any back-end tutorial in that video ?
Database connection tutorial ?"
334,81,Hey Max... Yu are really awesome.. Could you please help or guide me  how to make videos like you do.? I mean the presentation of your videos  You and your Laptop screen in video is much effective... Plz plz plz reply and help me to grow like you
335,82,
336,83,
337,84,
338,85," Join the .NET Web Academy with a 30% discount - closing soon! 

 https://www.dotnetwebacademy.com/courses/academy?coupon=dnwas23yt"
339,85,One of the best videos I have seen on this topic. Simple  sequential presentation  clear from top to bottom. Thank you very much!
340,85,Dude you're awesome. I'm a DBA and I've been assigned with creating a web app using C#/NET  and months ago I found your channel.... through these API walkthroughs and other suggestions like MudBlazor/Blazor I've been able to make a pretty legit  fully functioning  low code and maintanable app despite not being a programmer that I'm proud of. Thanks for the videos. Recently did a year of skillshare and ill be checking you out there as well.
341,85,Greetings from Finland. I shifted over from development to sales over 10 years ago and started to try out coding again   just for fun. The starting up again is a pain as nothing in the code makes sense. I found your tutorial super beneficial and clear. Thanks for this.
342,85,I'm only 15 minutes into this video but i really  really like your style. I've done a few other tutorials and from what I've seen people either blow through things without explaining or they explain too main minor details without touching on the bigger picture of why things are done a certain way. I can say your tutorial is one of the best I've come across.
343,85,Thank you for such a clear and simplistic tutorial to grasp some knowledge on the new 7 version. You gained a new subscriber :) Great guy!
344,85,Thank you for the awesome vid! My only request to make things more clear for us new devs  is could you leave your solution explorer open on the side? I know ultimately I can see where you are based on the tab names  but the solution explorer is more clear.
345,85,Excellent work @Patrick God   please keep it up and there should be video of real life project example ( user registration  employee registration or a sales invoice ) from creating Table   Strored Procedures  Web Api and Angular
346,85,Hello  thank you for the tutorial. I was wondering if you are planning to do videos on different authentication methods with users accessing our API?
347,85,Greetings! You surely have some of the best tutorials in the game! I wanted to know how I would alter the program to use Cosmos DB. I have tried it on my own but seem to run into many issues. Thanks
348,85,This is the best video I've seen on this topic. You have a talent for explaining things clearly.
349,85,Hola Patrick  mil y un millon de gracias!  tengo una pregunta:  Si quiero conectarme a mas de una base de datos que tienen la misma estructura  como lo harÃ­a?  teniendo en cuenta que el DbContext solo muestra la conexion a una base de datos.
350,85,Good work sir    on your next vlog please show us how to work on Dbfirst with Indentity and multi relational database
351,85,"Amazing video! Thanks a lot for that.
While you did with SuperHero model  I made with User model and works perfectly. Now  I'm trying creating another models and make the relationships. One more time  thanks for this tutorial!"
352,85,"That's AWESOME!Thank you
Also wanted to ask about your course on Udemy(.NET 7 Web API & Entity Framework Jumpstart) do I have to learn basics of Razor pages before watching it or I'll be fine without Razor?"
353,85,I've tried several online courses throughout my Web Developer career. Your videos are the best of used. EXCELLENT
354,85,I like the design of this version using service and interface to implement dependency injection.
355,85,Hey Patrick! would you make a video on how to add data access layer to the project? Thanks
356,85,What are the differences between Web API project using EF and Microservices project using EF? If I have code for the project  how can I find out if it is a Web API project or Microservices project?
357,85,Excellent tutorial.  Thank you!
358,86,
359,87,
360,88,
361,89,Hey Hari  its Nick  we talked about options in Mauritius
362,89,so great wouldnt be for sale
363,90,Always appreciste your videos and courses
364,91,I can't believe this was 2 years ago! Man  the details! I am sure AP has upgraded more by now! Thanks so much for this masterpiece Andrew.
365,91,Hi Andrey  this is digital painting at it's best!You shoot out such a masterclass Picture.Thank you for sharing it!Ciao Jack
366,91,thank you soooo much for this!!! i was torn between weather to buy it or not for my iPad. Now i am def going to buy it. This could easily replace photoshop for me! I wanted something that could do photo manipulation and also sketch ! this is perfect!
367,91,I bow to your skill this is absolutely stunning and incredible
368,91,Very nice man. Please keep doing digital painting in Affinity Photo!
369,91,Wow  it's so spectacular!
370,91,Great video (the only one on this specific topic on the entire YouTube platform  I think). What tools or capabilities do you consider are missing in AP compared to PS when it comes to digital art? Considering very seriously switching from Adobe. Thank you so much
371,91,"This is awesome! I recently picked up both Photo and Designer  and cannot wait to get going with some digital drawing. 

Question - do you prefer to draw in Design or Photo ? And also what is your computer setup like  in terms of hardware/ specs? 
Thanks  looking forward to more videos of your work :)"
372,91,Muito bom!!
373,91,That is so satisfying to watch. Thanks for posting.
374,91,great work! 
375,91,This is great artwork but I wish you coud have an explanation of what you did for each layer.
376,91,thank you for this  I just purchased affinity for digital drawing and designing  I've used almost all the softwares
377,91,Thank you so much for posting this. I love Adobe photoshop but tired of having to pay for a subscription when I can just buy this learn and master everything again and be much happier. I could use this and clip studio both able to buy no sub. Ty!!
378,91,Utterly brilliant!
379,91,Hi Andrew! I enjoyed this tutorial a lot... I was wondering if there's a clipping mask function like in Photoshop (I searched for it but still cannot find it)
380,91,"Itâs incredible
Iâm a french people and i try to learn how to use affinity
Could you make some tutorials in the future please ?"
381,91,Beautiful.
382,91,"I'm considering getting affinity and this video is really tipping me over the edge

amazing drawing btw! this is so fucking cool"
383,91,Hello Andy  amazing job you have done here! Is it possible to achieve the same result in Affinity Designer?
384,92,
385,93,
386,94,Hey Hari  its Nick  we talked about options in Mauritius
387,94,so great wouldnt be for sale
388,95,
389,96,Good!
390,96,thanks
391,96,There's nothing in video to learn.
392,97,Thank you Jordan for this great tutorial  I've implemented this practise in the other modern website project you created in a different css tutorial and it worked just fine ! :) Would like to see more coming from you in the future.
393,97,Thank u for u awsm videos ....and give some videos about deployment sir..
394,98,Hey Hari  its Nick  we talked about options in Mauritius
395,98,so great wouldnt be for sale
396,99,
397,100,
